SideEffect,Disease,Pvalue
acne,Zollinger-Ellison Syndrome,0.002104636
ulcer,Urinary Tract Infections,0.002106443
hyperuricemia,Ascites,0.002110305
tooth disorder,Bipolar Disorder,0.002112172
chills,Bipolar Disorder,0.002125594
gastritis,"Spondylitis, Ankylosing",0.002130613
hypersensitivity,Heart Failure,0.002138808
gynecomastia,Attention Deficit Disorder with Hyperactivity,0.002138976
moniliasis,Esophagitis,0.002145058
moniliasis,Lyme Disease,0.002145058
moniliasis,Tonsillitis,0.002145058
anaphylaxis,Bacteroides Infections,0.002148555
anaphylaxis,"Bone Diseases, Infectious",0.002148555
myopathy,Rheumatic Diseases,0.002152338
dyspnea,Osteoarthritis,0.002154525
pruritus,"Rhinitis, Allergic, Perennial",0.002158467
pleural effusion,Lung Neoplasms,0.0021588
Clotting,Alzheimer Disease,0.002160015
Clotting,Cystitis,0.002160015
orchitis,Depressive Disorder,0.002176229
hypomagnesemia,Multiple Myeloma,0.002176229
insomnia,"Rhinitis, Allergic, Perennial",0.002179599
dizziness,"Candidiasis, Cutaneous",0.002180554
eosinophilia,"Arthritis, Juvenile Rheumatoid",0.002180554
eosinophilia,Coronary Artery Disease,0.002180554
eosinophilia,Hyperlipoproteinemias,0.002180554
eosinophilia,Hypertriglyceridemia,0.002180554
hematuria,Dysmenorrhea,0.002180554
urticaria,Klebsiella Infections,0.00218065
agranulocytosis,Duodenal Ulcer,0.002180983
agranulocytosis,Fever,0.002180983
duodenitis,Duodenal Ulcer,0.002183533
fibrosis,"Lymphoma, Non-Hodgkin",0.002183533
lymphocytosis,Salmonella Infections,0.002183533
lymphopenia,Colorectal Neoplasms,0.002187447
lymphopenia,Epididymitis,0.002187447
lymphopenia,Gastrointestinal Neoplasms,0.002187447
ptosis,Eating Disorders,0.002187447
ptosis,Phobic Disorders,0.002187447
anaphylactoid purpura,Chlamydia Infections,0.002188386
pigmentary retinopathy,Anxiety Disorders,0.002188386
vascular headache,Panic Disorder,0.002188386
amylase increased,Alzheimer Disease,0.002188386
amylase increased,Cystitis,0.002188386
phobia,Cystitis,0.002188386
hallucinations,Alzheimer Disease,0.002188901
hallucinations,Cystitis,0.002188901
Stevens - Johnson syndrome,Cystitis,0.002188901
Stevens - Johnson syndrome,Peritonitis,0.002188901
bradycardia,Status Epilepticus,0.002188901
abdominal pain upper,Attention Deficit Disorder with Hyperactivity,0.002196674
interstitial nephritis,"Pneumonia, Bacterial",0.002197384
neutropenia,Testicular Neoplasms,0.002197884
sweating,Attention Deficit Disorder with Hyperactivity,0.002201601
ataxia,Asthma,0.00220287
Influenza,Urinary Tract Infections,0.00220375
phlebitis,Heart Failure,0.002204359
hip pain,Diabetic Nephropathies,0.002206474
hip pain,"Ventricular Dysfunction, Left",0.002206474
myocarditis,Autistic Disorder,0.002206474
myocarditis,Toxoplasmosis,0.002206474
porphyria,Amenorrhea,0.002206474
sinus headache,Tobacco Use Disorder,0.002206474
sinus tachycardia,Apnea,0.002206474
tracheobronchitis,Diabetic Nephropathies,0.002206474
tracheobronchitis,"Ventricular Dysfunction, Left",0.002206474
joint stiffness,Tobacco Use Disorder,0.002206474
knee pain,Diabetic Nephropathies,0.002206474
knee pain,"Ventricular Dysfunction, Left",0.002206474
neuropathy,Neuroblastoma,0.002210212
glossitis,Fever,0.002215548
alopecia,Respiratory Tract Infections,0.002222128
hoarseness,"Rhinitis, Allergic, Perennial",0.002224834
sinus congestion,"Rhinitis, Allergic, Perennial",0.002224834
hypoventilation,Depressive Disorder,0.002224834
oral moniliasis,Pseudomonas Infections,0.00222788
leukocytosis,Autistic Disorder,0.002234436
leukocytosis,Trigeminal Neuralgia,0.002234436
amenorrhea,Neuroblastoma,0.002236392
amenorrhea,Tourette Syndrome,0.002236392
tooth disorder,Obsessive-Compulsive Disorder,0.002236392
tooth disorder,Zollinger-Ellison Syndrome,0.002236392
asthma,Fever,0.002238476
cough,Obsessive-Compulsive Disorder,0.002245641
myalgia,Coronary Artery Disease,0.002245641
myalgia,Hyperlipoproteinemias,0.002245641
myalgia,Hypertriglyceridemia,0.002245641
myalgia,Zollinger-Ellison Syndrome,0.002245641
photosensitivity,Cystitis,0.002255636
infection,Facial Dermatoses,0.002259942
infection,Foot Dermatoses,0.002259942
infection,Hand Dermatoses,0.002259942
infection,Leg Dermatoses,0.002259942
infection,Multiple Myeloma,0.002259942
infection,Scalp Dermatoses,0.002259942
pancytopenia,Bacteroides Infections,0.002260148
pancytopenia,Helicobacter Infections,0.002260148
malaise,Osteoarthritis,0.002266297
hiccup,"Epilepsies, Partial",0.002267153
hiccup,Panic Disorder,0.002267153
rectal hemorrhage,"Epilepsies, Partial",0.002267153
rectal hemorrhage,Panic Disorder,0.002267153
apnea,Hypertension,0.002272823
tumor,Hypertension,0.002272823
elevated liver enzymes,Inflammation,0.002281898
cholelithiasis,"Epilepsies, Partial",0.002287038
hypothyroidism,"Epilepsies, Partial",0.002287038
SIADH,Panic Disorder,0.002287038
SIADH,Testicular Neoplasms,0.002287038
nephropathy,Sinusitis,0.002287038
blindness,Testicular Neoplasms,0.002287038
asthenia,Hypertension,0.002289093
eosinophilia,Sinusitis,0.002291845
oral moniliasis,Proteus Infections,0.002293314
SGOT increased,Bipolar Disorder,0.00229725
colitis,Cystitis,0.002303866
colitis,"Meningitis, Bacterial",0.002303866
colitis,Peritonitis,0.002303866
colitis,Sepsis,0.002303866
vaginitis,Alzheimer Disease,0.002303866
vaginitis,Serratia Infections,0.002303866
congestive heart failure,"Tachycardia, Ventricular",0.002319164
migraine,Zollinger-Ellison Syndrome,0.002319812
liver function tests abnormal,Osteomyelitis,0.002326262
mouth ulceration,Haemophilus Infections,0.002337171
agitation,Inflammation,0.002340295
osteoporosis,Alzheimer Disease,0.002344087
anorexia,Attention Deficit Disorder with Hyperactivity,0.002345162
anorexia,Hodgkin Disease,0.002345162
urinary retention,"Pain, Intractable",0.002348985
postural hypotension,Streptococcal Infections,0.002351598
goiter,Nocardia Infections,0.002355713
goiter,Phobic Disorders,0.002355713
hernia,Eating Disorders,0.002355713
hernia,Phobic Disorders,0.002355713
lymphocytic leukemia,Breast Neoplasms,0.002355713
early menopause,Breast Neoplasms,0.002355713
pulmonary fibrosis,Hyperprolactinemia,0.002355713
pulmonary fibrosis,"Sarcoma, Ewings",0.002355713
pulmonary fibrosis,Trophoblastic Neoplasms,0.002355713
pulmonary fibrosis,Waldenstrom Macroglobulinemia,0.002355713
deep vein thrombosis,Subarachnoid Hemorrhage,0.002355713
trigger finger,Breast Neoplasms,0.002355713
optic neuritis,Prostatic Neoplasms,0.002356181
hyperpigmentation,Lung Neoplasms,0.002356181
interstitial pneumonitis,Prostatic Neoplasms,0.002356181
Dyspepsia,"Arthritis, Rheumatoid",0.002356817
tachycardia,Schizophrenia,0.002356817
blurred vision,Klebsiella Infections,0.002357797
aphasia,Bipolar Disorder,0.002361289
pruritus ani,Streptococcal Infections,0.002361289
kidney pain,Bipolar Disorder,0.002361289
chest pain substernal,Obsessive-Compulsive Disorder,0.002365744
chest pain substernal,Zollinger-Ellison Syndrome,0.002365744
Parkinson,Tourette Syndrome,0.002365744
complete heart block,Atrial Fibrillation,0.002366811
epididymitis,Parkinson Disease,0.002367231
tenosynovitis,Panic Disorder,0.002367414
leukopenia,Ovarian Neoplasms,0.002376691
asthma,Haemophilus Infections,0.002388918
optic neuritis,Gout,0.00240809
optic neuritis,Tuberculosis,0.00240809
hyperpigmentation,"Leukemia, Lymphocytic, Chronic, B-Cell",0.00240809
hyperpigmentation,Multiple Myeloma,0.00240809
interstitial pneumonitis,Multiple Sclerosis,0.00240809
atrial fibrillation,Alzheimer Disease,0.002409686
anosmia,"Conjunctivitis, Bacterial",0.002409999
anosmia,Prostatitis,0.002409999
arterial insufficiency,"Tachycardia, Supraventricular",0.002409999
arterial insufficiency,"Tachycardia, Ventricular",0.002409999
corneal opacity,"Spondylitis, Ankylosing",0.002409999
exophthalmos,Graft vs Host Disease,0.002409999
seasonal allergic rhinitis,Alcoholism,0.002409999
lacrimation disorder,Head and Neck Neoplasms,0.002409999
lacrimation disorder,"Spondylitis, Ankylosing",0.002409999
spinal cord disease,Lung Neoplasms,0.002409999
spinal cord disease,Ovarian Neoplasms,0.002409999
hyperphosphatemia,Graft vs Host Disease,0.002409999
hyperphosphatemia,Sarcoma,0.002409999
autonomic neuropathy,Lung Neoplasms,0.002409999
autonomic neuropathy,Ovarian Neoplasms,0.002409999
Presyncope,"Tachycardia, Supraventricular",0.002409999
Presyncope,"Tachycardia, Ventricular",0.002409999
chest pain,Atrial Fibrillation,0.002418578
leukopenia,"Rhinitis, Allergic, Perennial",0.002419743
contact dermatitis,Dermatitis,0.00242057
arthrosis,Esophagitis,0.00242057
peripheral neuropathy,Enuresis,0.00242057
peripheral neuropathy,Uterine Neoplasms,0.00242057
constipation,Heart Failure,0.002421327
dry mouth,Schizophrenia,0.002430274
pleural effusion,Leukemia,0.002432152
conjunctivitis,Dysmenorrhea,0.002434549
syncope,Atrial Fibrillation,0.002442085
Dyspepsia,Hodgkin Disease,0.002449653
ataxia,Attention Deficit Disorder with Hyperactivity,0.002479833
apnea,Bipolar Disorder,0.002494224
glaucoma,Bipolar Disorder,0.002494224
tumor,Helicobacter Infections,0.002494224
wheezing,Urticaria,0.002494224
sleep disorder,Helicobacter Infections,0.002494224
petit mal,Schizophrenia,0.002497671
methemoglobinemia,Toxoplasmosis,0.002497671
neurodermatitis,Schizophrenia,0.002497671
pericardial effusion,Polycythemia Vera,0.002497671
stuttering,Schizophrenia,0.002497671
Vestibular Disorders,Dementia,0.002497671
positive ANA,Raynaud Disease,0.002497671
hemolytic anemia,Acinetobacter Infections,0.002503613
hemolytic anemia,"Spondylitis, Ankylosing",0.002503613
asthma,"Spondylitis, Ankylosing",0.002503613
hyperesthesia,"Epilepsies, Partial",0.002509013
hyperesthesia,Panic Disorder,0.002509013
decreased libido,Bipolar Disorder,0.002512201
hematemesis,Inflammation,0.002514567
dysarthria,Schizophrenia,0.002516396
spasm,Bipolar Disorder,0.002523682
anemia,Obsessive-Compulsive Disorder,0.00252603
anemia,Zollinger-Ellison Syndrome,0.00252603
mental depression,Endometrial Hyperplasia,0.00253021
mental depression,Hot Flashes,0.00253021
mental depression,Uterine Hemorrhage,0.00253021
hoarseness,Colorectal Neoplasms,0.00253021
chronic lymphocytic leukemia,Depressive Disorder,0.00253021
multiple myeloma,Depressive Disorder,0.00253021
dacryostenosis,Depressive Disorder,0.00253021
duodenal ulcer haemorrhage,Depressive Disorder,0.00253021
cardiac tamponade,Multiple Myeloma,0.002544072
ureteral obstruction,"Leukemia, Lymphocytic, Chronic, B-Cell",0.002544072
ureteral obstruction,Multiple Sclerosis,0.002544072
Sterility,"Lymphoma, Non-Hodgkin",0.002544072
toxic epidermal necrolysis,Duodenal Ulcer,0.002550573
toxic epidermal necrolysis,Fever,0.002550573
decreased libido,Soft Tissue Infections,0.002552176
sleep disorder,Zollinger-Ellison Syndrome,0.002566589
exfoliative dermatitis,"Spondylitis, Ankylosing",0.002583729
hot flashes,Prostatic Neoplasms,0.002590271
urticaria,Bradycardia,0.002612437
diabetes mellitus,Autistic Disorder,0.002616764
acute renal failure,Esophageal Neoplasms,0.002616764
acute renal failure,Lymphoma,0.002616764
acute renal failure,Osteosarcoma,0.002616764
pancreatitis,"Arthritis, Juvenile Rheumatoid",0.002616836
pancreatitis,Dysmenorrhea,0.002616836
pancreatitis,Obsessive-Compulsive Disorder,0.002616836
constipation,Attention Deficit Disorder with Hyperactivity,0.002625558
constipation,Parkinson Disease,0.002625558
gastric ulcer,Depressive Disorder,0.002639938
cerebral ischemia,Depressive Disorder,0.002639938
tremor,Panic Disorder,0.002641558
dry mouth,Urinary Tract Infections,0.002644446
thrombophlebitis,Escherichia coli Infections,0.002648736
hallucinations,Edema,0.002651279
folliculitis,Pruritus,0.002655125
pericarditis,Gram-Positive Bacterial Infections,0.002655125
myocarditis,Bipolar Disorder,0.002659136
proctitis,Helicobacter Infections,0.002659136
tooth caries,Obsessive-Compulsive Disorder,0.002659758
tardive dyskinesia,Obsessive-Compulsive Disorder,0.002659758
tachycardia,Urinary Tract Infections,0.002660557
pancreatitis,Bipolar Disorder,0.002667414
hepatic encephalopathy,Zollinger-Ellison Syndrome,0.002668118
muscle atrophy,Neuroblastoma,0.002668118
night blindness,Obsessive-Compulsive Disorder,0.002668118
pericarditis,Lung Neoplasms,0.002673699
respiratory failure,"Tachycardia, Supraventricular",0.002673699
arthralgia,"Angina Pectoris, Variant",0.002677128
arthralgia,Coronary Artery Disease,0.002677128
arthralgia,Hyperlipoproteinemias,0.002677128
arthralgia,Hypertriglyceridemia,0.002677128
arthralgia,Obsessive-Compulsive Disorder,0.002677128
colitis,Bacteroides Infections,0.002687359
ecchymosis,Bipolar Disorder,0.002687359
esophagitis,Bipolar Disorder,0.002687359
thrombocytopenia,Hodgkin Disease,0.002689466
thrombocytopenia,Otitis Media,0.002689466
seizures,Peritonitis,0.002691055
seizures,Sepsis,0.002691055
fungal dermatitis,Phobic Disorders,0.002710939
furunculosis,Phobic Disorders,0.002710939
leg pain,Endometrial Hyperplasia,0.002710939
leg pain,Uterine Hemorrhage,0.002710939
optic neuritis,Eating Disorders,0.002710939
optic neuritis,Endometrial Hyperplasia,0.002710939
optic neuritis,Uterine Hemorrhage,0.002710939
personality disorder,Narcolepsy,0.002710939
gastric ulcer,Gastrointestinal Neoplasms,0.002710939
hyperpigmentation,Addison Disease,0.002710939
interstitial pneumonitis,"Sarcoma, Ewings",0.002710939
interstitial pneumonitis,Trophoblastic Neoplasms,0.002710939
interstitial pneumonitis,Waldenstrom Macroglobulinemia,0.002710939
heart block,Atrial Fibrillation,0.002714117
heart block,Ventricular Fibrillation,0.002714117
nausea,Dermatitis,0.002718715
hyperhidrosis,Diabetic Nephropathies,0.002721994
hyperhidrosis,"Ventricular Dysfunction, Left",0.002721994
sinus headache,Asthma,0.002721994
adenocarcinoma,Parkinson Disease,0.00272574
appendicitis,Parkinson Disease,0.00272574
arteriosclerosis,Parkinson Disease,0.00272574
skin benign neoplasm,Attention Deficit Disorder with Hyperactivity,0.00272574
enuresis,Alzheimer Disease,0.00272574
Glossodynia,Gastroesophageal Reflux,0.00272574
renal cyst,Parkinson Disease,0.00272574
myelodysplastic syndrome,"Leukemia, Myeloid, Acute",0.00272574
myelodysplastic syndrome,Pancreatic Neoplasms,0.00272574
myelodysplastic syndrome,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.00272574
parotitis,Attention Deficit Disorder with Hyperactivity,0.00272574
streptococcal pharyngitis,Attention Deficit Disorder with Hyperactivity,0.00272574
uterine fibroids,Muscle Spasticity,0.00272574
gastric carcinoma,Parkinson Disease,0.00272574
neck pain,Attention Deficit Disorder with Hyperactivity,0.002726262
nightmares,Parkinson Disease,0.002726262
numbness,Attention Deficit Disorder with Hyperactivity,0.002726262
aplastic anemia,Edema,0.002728062
dysarthria,"Epilepsy, Tonic-Clonic",0.002734595
encephalopathy,Sepsis,0.002741795
encephalopathy,Serratia Infections,0.002741795
thrombocythemia,Cystitis,0.002741795
thrombocythemia,Peritonitis,0.002741795
thrombocythemia,Sepsis,0.002741795
menstrual disorder,Panic Disorder,0.002745787
supraventricular tachycardia,Bronchial Spasm,0.002745787
hypochloremia,Heart Failure,0.002745787
psychosis,Cystitis,0.002748466
toxic epidermal necrolysis,Acinetobacter Infections,0.002749712
toxic epidermal necrolysis,"Epilepsy, Tonic-Clonic",0.002749712
hyperthyroidism,Panic Disorder,0.002762659
telangiectasia,"Rhinitis, Allergic, Perennial",0.002762659
hypoventilation,Panic Disorder,0.002762659
erythema,Cystitis,0.00276974
seizures,Pain,0.002770529
anemia,Hodgkin Disease,0.002786212
flatulence,Hypercholesterolemia,0.002793431
agranulocytosis,Otitis Media,0.002802112
cardiomegaly,Adrenal Insufficiency,0.002806504
cardiomegaly,Polycythemia Vera,0.002806504
nephrotic syndrome,Bursitis,0.002806504
torticollis,Autistic Disorder,0.002806504
torticollis,Dementia,0.002806504
striae,Adrenal Insufficiency,0.002806504
vaginal discharge,Amenorrhea,0.002806504
Sinusitis,Coronary Artery Disease,0.002810039
Sinusitis,Hyperlipoproteinemias,0.002810039
Sinusitis,Hypertriglyceridemia,0.002810039
cardiomegaly,Parkinson Disease,0.002813946
sinus arrest,Angina Pectoris,0.002813946
cold extremities,Attention Deficit Disorder with Hyperactivity,0.002813946
lymphocytosis,Depressive Disorder,0.002815594
leukopenia,Fever,0.002818973
leukopenia,"Lymphoma, Non-Hodgkin",0.002818973
phlebitis,Cytomegalovirus Retinitis,0.002823281
polyuria,Autistic Disorder,0.002823281
polyuria,Menorrhagia,0.002823281
thrombophlebitis,Autistic Disorder,0.002823281
cataract,Adrenal Insufficiency,0.002823281
cataract,Hypersensitivity,0.002823281
postural hypotension,Angina Pectoris,0.002827119
nervousness,Bronchial Spasm,0.002831588
nervousness,"Epilepsies, Partial",0.002831588
nervousness,Panic Disorder,0.002831588
convulsions,Hematologic Diseases,0.002835641
convulsions,Neoplasms,0.002835641
convulsions,"Spondylitis, Ankylosing",0.002835641
arterial insufficiency,Ventricular Fibrillation,0.002841389
intestinal perforation,"Conjunctivitis, Bacterial",0.002841389
intestinal perforation,Prostatitis,0.002841389
skin carcinoma,Graft vs Host Disease,0.002841389
Presyncope,Atrial Fibrillation,0.002841389
urinary frequency,Attention Deficit Disorder with Hyperactivity,0.002848673
alopecia,Proteus Infections,0.002874471
pancreatitis,Angina Pectoris,0.002878319
pancreatitis,Myocardial Infarction,0.002878319
mental depression,Atrial Fibrillation,0.002878456
abdominal distention,Graft vs Host Disease,0.002894548
abdominal distention,Rheumatic Diseases,0.002894548
blistering,Gastrointestinal Neoplasms,0.0028979
gum hemorrhage,Phobic Disorders,0.0028979
pericarditis,Gastrointestinal Neoplasms,0.0028979
cholelithiasis,Depressive Disorder,0.002908843
priapism,Prostatic Hyperplasia,0.002917719
conjunctivitis,Soft Tissue Infections,0.002917723
palpitations,Depressive Disorder,0.002918113
vertigo,Obsessive-Compulsive Disorder,0.002918278
cerebrovascular accident,Urinary Tract Infections,0.002922441
colitis,Salmonella Infections,0.002926122
vaginitis,Fever,0.002926122
glossitis,Esophagitis,0.002930495
ulcer,Hypersensitivity,0.002930495
ulcer,Lymphoma,0.002930495
ulcer,Uterine Neoplasms,0.002930495
rhinitis,Alzheimer Disease,0.002932634
syncope,Depressive Disorder,0.002940989
syncope,Pain,0.002947522
vaginal moniliasis,Peritonitis,0.002955853
constitutional symptoms,"Leukemia, Myeloid, Acute",0.002955853
constitutional symptoms,Psoriasis,0.002955853
neck rigidity,Bipolar Disorder,0.00295976
pancytopenia,Osteoarthritis,0.002968481
claudication,Atrial Fibrillation,0.00297205
asthenia,Acne Vulgaris,0.002972649
infection,Pseudomonas Infections,0.002975898
oral moniliasis,Staphylococcal Infections,0.002984175
fungal infection,Staphylococcal Infections,0.002984175
fungal infection,Streptococcal Infections,0.002984175
neutropenia,Bronchitis,0.002989513
dyspnea,Tinea Pedis,0.002990106
blepharitis,Panic Disorder,0.00299789
cyst,Panic Disorder,0.00299789
dyskinesia,"Epilepsies, Partial",0.00299789
fever,Bradycardia,0.003009605
agitation,Cystitis,0.003016905
dysphasia,Escherichia coli Infections,0.00301999
bronchitis,Urinary Tract Infections,0.003034438
jaundice,"Glaucoma, Open-Angle",0.003036671
leg cramps,Autistic Disorder,0.003040388
thrombophlebitis,Klebsiella Infections,0.003049847
neck pain,Depressive Disorder,0.003050521
ventricular tachycardia,Depressive Disorder,0.003050521
myocardial infarction,Osteoarthritis,0.003051968
hepatitis,"Glaucoma, Open-Angle",0.003088588
nail disorder,Gastrointestinal Neoplasms,0.003091094
priapism,Eating Disorders,0.003091094
loss of consciousness,"Tachycardia, Paroxysmal",0.003091094
sweating,Muscle Spasticity,0.003103102
eructation,"Epilepsies, Partial",0.00311345
eructation,Panic Disorder,0.00311345
liver function tests abnormal,"Epilepsies, Partial",0.00311345
hematemesis,Fever,0.003115786
renal failure,Heart Failure,0.003117258
ear pain,Alzheimer Disease,0.003120729
ear pain,Cystitis,0.003120729
gynecomastia,Streptococcal Infections,0.003123483
angioedema,Urinary Tract Infections,0.003131263
acute pancreatitis,Amenorrhea,0.003132909
acute pancreatitis,"Kidney Failure, Chronic",0.003132909
acute pancreatitis,Liver Cirrhosis,0.003132909
supraventricular extrasystoles,Dementia,0.003132909
esophageal ulcer,Esophagitis,0.003132909
skin irritation,Hypogonadism,0.003132909
concentration impaired,Dementia,0.003132909
dizziness,Inflammation,0.003146198
hyperglycemia,Inflammation,0.003146198
hemolytic anemia,Bronchitis,0.003148465
hemolytic anemia,Diabetic Nephropathies,0.003148465
hemolytic anemia,"Ventricular Dysfunction, Left",0.003148465
acute renal failure,Diabetic Nephropathies,0.00315366
acute renal failure,"Ventricular Dysfunction, Left",0.00315366
eosinophilia,Bronchitis,0.003154067
eosinophilia,Diabetic Nephropathies,0.003154067
eosinophilia,"Ventricular Dysfunction, Left",0.003154067
hyperglycemia,Bronchitis,0.003154067
purpura,Pain,0.003168389
abdominal distention,Inflammation,0.003174205
asthenia,Obsessive-Compulsive Disorder,0.003177813
stomatitis,Haemophilus Infections,0.003179841
acidosis,Status Epilepticus,0.003180321
cholelithiasis,Alzheimer Disease,0.003180321
nephropathy,"Bites, Human",0.003180321
nephropathy,"Meningitis, Bacterial",0.003180321
nephropathy,Peritonitis,0.003180321
nephropathy,Serratia Infections,0.003180321
convulsions,Hypertension,0.00318957
urticaria,Urticaria,0.003193732
Vestibular Disorders,Bipolar Disorder,0.003194296
polydipsia,Schizophrenia,0.003194296
cutaneous candidiasis,Staphylococcal Infections,0.003196249
duodenal ulcer,"Epilepsies, Partial",0.003197003
lymphocytosis,"Epilepsies, Partial",0.003197003
pyelonephritis,Panic Disorder,0.003197003
ataxia,"Epilepsy, Tonic-Clonic",0.003199647
ataxia,Seizures,0.003199647
ataxia,"Stress Disorders, Post-Traumatic",0.003199647
congestive heart failure,"Arthritis, Juvenile Rheumatoid",0.003208501
cerebrovascular accident,Dysmenorrhea,0.003208501
cerebrovascular accident,Obsessive-Compulsive Disorder,0.003208501
azotemia,Diabetic Nephropathies,0.003209937
azotemia,"Ventricular Dysfunction, Left",0.003209937
heart failure,Hypertension,0.003218654
impotence,"Rhinitis, Allergic, Perennial",0.003219418
amenorrhea,Sarcoma,0.003232396
nystagmus,"Conjunctivitis, Bacterial",0.003232396
nystagmus,Prostatitis,0.003232396
nystagmus,Seizures,0.003232396
pneumonia,Heart Failure,0.003236677
pneumonia,Gonorrhea,0.003242786
pneumonia,"Pneumonia, Bacterial",0.003242786
hypersensitivity,Helicobacter Infections,0.003246908
hyponatremia,Alzheimer Disease,0.003252596
cutaneous candidiasis,Sinusitis,0.003255444
cryptococcosis,Testicular Neoplasms,0.003255444
hydronephrosis,Multiple Myeloma,0.003255444
nodule,"Epilepsies, Partial",0.003255444
pheochromocytoma,Nausea,0.003255444
telangiectasia,Pruritus,0.003255444
hairy tongue,Chlamydia Infections,0.003255444
hairy tongue,Sinusitis,0.003255444
hypochloremia,Multiple Myeloma,0.003255444
polyneuropathy,Testicular Neoplasms,0.003255444
Sterility,Testicular Neoplasms,0.003255444
peptic ulcer,Panic Disorder,0.003265854
angioedema,"Arthritis, Rheumatoid",0.003268987
arrhythmia,Osteoarthritis,0.003268987
pneumonia,Klebsiella Infections,0.003270456
tremor,Soft Tissue Infections,0.003278451
moniliasis,Neutropenia,0.003285945
moniliasis,Pharyngitis,0.003285945
aphasia,Phobic Disorders,0.003290519
fecal incontinence,Eating Disorders,0.003290519
fecal incontinence,Phobic Disorders,0.003290519
hirsutism,Addison Disease,0.003290519
hirsutism,Endometrial Hyperplasia,0.003290519
hirsutism,Phobic Disorders,0.003290519
hirsutism,Uterine Hemorrhage,0.003290519
kidney pain,Eating Disorders,0.003290519
kidney pain,Phobic Disorders,0.003290519
Clotting,Bipolar Disorder,0.003295519
ocular infection,Hematologic Diseases,0.003307041
ocular infection,Neoplasms,0.003307041
mastitis,"Stress Disorders, Post-Traumatic",0.003307041
polyarthritis,Acquired Immunodeficiency Syndrome,0.003307041
latent diabetes,Graft vs Host Disease,0.003307041
mood disorders,Acquired Immunodeficiency Syndrome,0.003307041
arthrosis,Panic Disorder,0.003307847
nocturia,"Epilepsies, Partial",0.003307847
nocturia,Panic Disorder,0.003307847
peripheral neuropathy,Testicular Neoplasms,0.003307847
cachexia,AIDS-Related Opportunistic Infections,0.003310093
esophageal ulcer,Acne Vulgaris,0.003310093
Stevens - Johnson syndrome,Pseudomonas Infections,0.003311011
bradycardia,Atrial Fibrillation,0.003311011
goiter,Zollinger-Ellison Syndrome,0.003314842
hernia,Obsessive-Compulsive Disorder,0.003314842
hernia,Zollinger-Ellison Syndrome,0.003314842
myositis,Coronary Artery Disease,0.003314842
myositis,Hyperlipoproteinemias,0.003314842
myositis,Hypertriglyceridemia,0.003314842
myositis,Obsessive-Compulsive Disorder,0.003314842
pulmonary fibrosis,Neuroblastoma,0.003314842
narrow angle glaucoma,Bipolar Disorder,0.003319583
Glossodynia,Helicobacter Infections,0.003319583
pruritus ani,"Bites, Human",0.003319583
ARDS,"Carcinoma, Non-Small-Cell Lung",0.003319583
onycholysis,Pancreatic Neoplasms,0.003319583
testicular atrophy,Bipolar Disorder,0.003319583
second degree heart block,Atrial Flutter,0.003319583
albuminuria,Obsessive-Compulsive Disorder,0.003329008
albuminuria,Zollinger-Ellison Syndrome,0.003329008
Stevens - Johnson syndrome,"Arthritis, Juvenile Rheumatoid",0.003344045
Stevens - Johnson syndrome,Dysmenorrhea,0.003344045
Stevens - Johnson syndrome,Zollinger-Ellison Syndrome,0.003344045
diabetes mellitus,Depressive Disorder,0.003380802
spasm,Autistic Disorder,0.003386482
hepatitis,Urinary Tract Infections,0.003386584
dermatitis,Ovarian Neoplasms,0.00338943
pneumonia,Ovarian Neoplasms,0.00338943
increased sweating,Hematologic Diseases,0.003394261
increased sweating,Neoplasms,0.003394261
hirsutism,Prostatic Neoplasms,0.003396391
dysphasia,Staphylococcal Infections,0.003396391
carpal tunnel syndrome,Breast Neoplasms,0.003400049
polyps,Breast Neoplasms,0.003400049
latent diabetes,Breast Neoplasms,0.003400049
deafness,Depressive Disorder,0.003410076
SGOT increased,Anthrax,0.003410483
hiccup,Hypertension,0.003410556
sepsis,Hypertension,0.003410556
albuminuria,Helicobacter Infections,0.003410716
alkaline phosphatase increased,Bipolar Disorder,0.003410716
phlebitis,Haemophilus Infections,0.003413691
diarrhea,"Glaucoma, Open-Angle",0.003413899
hyperesthesia,Cystitis,0.003415404
serum sickness,"Bites, Human",0.003415404
serum sickness,"Endocarditis, Bacterial",0.003415404
serum sickness,"Meningitis, Bacterial",0.003415404
pseudomembranous colitis,"Endocarditis, Bacterial",0.003415404
angioedema,Fever,0.003426791
angioedema,Hypercholesterolemia,0.003426791
tinnitus,Asthma,0.003428345
ulcer,Prostatic Neoplasms,0.003441886
flatulence,"Glaucoma, Open-Angle",0.003445342
contact dermatitis,Urinary Tract Infections,0.003454093
photosensitivity,Dysmenorrhea,0.003460099
hypothermia,Psychotic Disorders,0.003463139
dementia,Schizophrenia,0.003463139
tachycardia,Bipolar Disorder,0.003464329
paralytic ileus,Pain,0.003464704
nausea,Urinary Tract Infections,0.003465173
fat embolism,"Rhinitis, Allergic, Perennial",0.003476819
enterocolitis,Meningococcal Infections,0.003476819
enterocolitis,"Sarcoma, Kaposi",0.003476819
hyperthyroidism,Autistic Disorder,0.003476819
papilledema,Gastrointestinal Diseases,0.003476819
papilledema,Respiratory Tract Diseases,0.003476819
pseudotumor cerebri,Gastrointestinal Diseases,0.003476819
